                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4783,                 3.0531,                 1.5433,                0.00333,                      1,                0.62746,                0.35875,                 1.2262,                 3.1315,                  1.481,                0.00018,                0.00018,                0.00018
                      2,                 1.2216,                 2.1101,                 1.3212,                      1,                0.24236,                0.78886,                0.44601,                 1.1596,                  2.742,                 1.4272,             0.00036119,             0.00036119,             0.00036119
                      3,                 1.1002,                 1.6938,                 1.2777,                0.00333,                      1,                 0.7934,                0.41253,                 1.2859,                 2.9192,                 1.5738,             0.00052258,             0.00052258,             0.00052258
                      4,                 1.0813,                 1.5977,                 1.2691,                      1,                 0.3943,                0.83942,                0.46785,                 1.3367,                 2.7439,                 1.6113,             0.00066417,             0.00066417,             0.00066417
                      5,                 1.1548,                 1.4662,                  1.307,                0.89962,                   0.55,                0.70265,                0.31922,                 1.8247,                 2.7781,                 1.8956,             0.00078596,             0.00078596,             0.00078596
                      6,                 1.1512,                 1.5888,                 1.3122,                 0.8152,                    0.6,                0.69092,                 0.3465,                 1.4727,                 2.7347,                 1.7915,             0.00088795,             0.00088795,             0.00088795
                      7,                 1.1371,                 1.5927,                 1.3152,                      1,                 0.6613,                0.78824,                0.47227,                  1.345,                 2.5647,                 1.6377,             0.00097014,             0.00097014,             0.00097014
                      8,                 1.1112,                 1.4958,                 1.2778,                0.80086,                    0.6,                0.75462,                0.45944,                 1.3638,                 2.3975,                 1.5623,              0.0010325,              0.0010325,              0.0010325
                      9,                 1.1364,                 1.4764,                 1.3466,                0.74843,                   0.65,                0.71129,                0.37877,                 1.6767,                 2.5532,                 1.8289,              0.0010751,              0.0010751,              0.0010751
                     10,                 1.1068,                 1.4314,                 1.2768,                0.83951,                0.78518,                0.77625,                0.49107,                 1.4044,                 2.0936,                 1.6607,              0.0010979,              0.0010979,              0.0010979
                     11,                0.91299,                 1.8745,                  1.163,                0.87375,                   0.75,                0.81084,                0.51262,                 1.3792,                 2.0401,                  1.634,                0.00101,                0.00101,                0.00101
                     12,                0.94838,                 1.8457,                 1.1545,                0.90961,                   0.75,                0.80095,                0.44548,                  1.561,                 2.3569,                 1.6873,               0.000911,               0.000911,               0.000911
                     13,                0.92589,                 1.7975,                 1.1205,                0.89333,                0.83796,                0.83747,                0.49658,                 1.3995,                 2.2843,                 1.5904,               0.000812,               0.000812,               0.000812
                     14,                0.95537,                 1.6631,                 1.1752,                0.89005,                    0.9,                0.87844,                0.58365,                 1.3117,                 1.8045,                 1.6091,               0.000713,               0.000713,               0.000713
                     15,                0.97137,                 1.6035,                 1.1936,                0.89388,                   0.85,                 0.8762,                0.59799,                 1.2648,                 1.7679,                 1.5674,               0.000614,               0.000614,               0.000614
                     16,                0.79781,                 1.5273,                  1.097,                0.85206,                    0.9,                0.85084,                0.56036,                 1.2431,                 1.7936,                  1.541,               0.000515,               0.000515,               0.000515
                     17,                0.77675,                 1.4343,                 1.0526,                0.85242,                    0.9,                0.85437,                0.58402,                 1.2244,                 1.6969,                 1.5084,               0.000416,               0.000416,               0.000416
                     18,                0.77633,                 1.4408,                 1.0533,                      1,                0.93858,                0.94751,                0.59625,                 1.3353,                 1.6606,                 1.6171,               0.000317,               0.000317,               0.000317
                     19,                0.76915,                 1.3906,                0.97841,                      1,                0.94413,                0.94872,                0.60033,                 1.3305,                 1.6046,                 1.6072,               0.000218,               0.000218,               0.000218
                     20,                0.73651,                 1.4267,                 1.0474,                      1,                 0.9374,                0.94844,                0.60274,                 1.2929,                 1.5395,                 1.5725,               0.000119,               0.000119,               0.000119
